generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
40,5.5865221619261565,4.0744530882483145,159.25889814555185,180.0189892313346,159.25889814555185,180.0189892313346,65196.258509734704,30
41,5.5865221619261565,4.259625101389986,159.25889814555185,182.4712307458722,159.25889814555185,182.4712307458722,65196.258509734704,30
42,5.5865221619261565,4.189447252189423,159.25889814555185,185.01631386555226,159.25889814555185,185.01631386555226,66419.48833093523,25
43,5.5865221619261565,4.233968709630731,159.25889814555185,186.45911412665293,159.25889814555185,186.45911412665293,66419.48833093523,30
44,5.5865221619261565,3.945673860766027,159.25889814555185,185.40540003859056,159.25889814555185,185.40540003859056,66798.65581362102,25
45,5.5865221619261565,3.8197809101658993,159.25889814555185,183.2819259694277,159.25889814555185,183.2819259694277,66982.26096655552,25
46,5.5865221619261565,3.960280547337274,159.25889814555185,184.7953117781741,159.25889814555185,184.7953117781741,66982.26096655552,30
47,5.5865221619261565,4.047720477925991,159.25889814555185,185.6643921126844,159.25889814555185,185.6643921126844,66982.26096655552,30
48,5.5865221619261565,4.156230520687546,159.25889814555185,189.18088645326324,159.25889814555185,189.18088645326324,67133.08654482485,30
49,5.5865221619261565,4.248816527258382,159.25889814555185,190.18289765392439,159.25889814555185,190.18289765392439,67183.57688109977,30
50,5.5865221619261565,4.0919082662188675,159.25889814555185,182.3132858398865,159.25889814555185,182.3132858398865,67229.53388864279,30
