tick,generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
0,157,6.162361222043234,5.890081820534298,126.2261147826685,165.45745922503406,126.2261147826685,165.45745922503406,132055.34585096408,60
0,158,6.162361222043234,5.910903932412994,126.2261147826685,169.66386528952125,126.2261147826685,169.66386528952125,132055.34585096408,60
0,159,6.162361222043234,5.88608510310477,126.2261147826685,168.4184149310974,126.2261147826685,168.4184149310974,132055.34585096408,60
0,160,6.162361222043234,5.901923303753566,126.2261147826685,169.4463095058113,126.2261147826685,169.4463095058113,132055.34585096408,60
0,161,6.162361222043234,5.907130636289007,126.2261147826685,171.99498176189888,126.2261147826685,171.99498176189888,132055.34585096408,60
0,162,6.162361222043234,5.874493015796103,126.2261147826685,166.20495434179534,126.2261147826685,166.20495434179534,132055.34585096408,60
0,163,6.162361222043234,5.897905806639989,126.2261147826685,170.48308207174586,126.2261147826685,170.48308207174586,132055.34585096408,60
0,164,6.162361222043234,5.8659852043528105,126.2261147826685,167.13294901587494,126.2261147826685,167.13294901587494,132055.34585096408,60
0,165,6.162361222043234,5.863145129477022,126.2261147826685,165.28583765893637,126.2261147826685,165.28583765893637,132055.34585096408,60
0,166,6.162361222043234,5.866224210421388,126.2261147826685,167.94624713728578,126.2261147826685,167.94624713728578,132055.34585096408,60
0,167,6.162361222043234,5.883257441413055,126.2261147826685,173.04063231905405,126.2261147826685,173.04063231905405,132055.34585096408,60
0,168,6.162361222043234,5.862450914297396,126.2261147826685,170.27736360966344,126.2261147826685,170.27736360966344,132055.34585096408,60
0,169,6.162361222043234,5.878528121014767,126.2261147826685,172.1185563057882,126.2261147826685,172.1185563057882,132055.34585096408,60
0,170,6.162361222043234,5.899812660267576,126.2261147826685,176.50842125800057,126.2261147826685,176.50842125800057,132055.34585096408,60
0,171,6.162361222043234,5.936930205248168,126.2261147826685,181.44513499989472,126.2261147826685,181.44513499989472,132055.34585096408,60
0,172,6.162361222043234,5.917295905449284,126.2261147826685,175.3169365825988,126.2261147826685,175.3169365825988,132055.34585096408,60
0,173,6.162361222043234,5.884663479877394,126.2261147826685,170.00795494752745,126.2261147826685,170.00795494752745,132055.34585096408,60
0,174,6.162361222043234,5.897188788434265,126.2261147826685,168.04318770751325,126.2261147826685,168.04318770751325,132055.34585096408,60
0,175,6.162361222043234,5.887719757795659,126.2261147826685,165.23694411091722,126.2261147826685,165.23694411091722,132055.34585096408,60
0,176,6.162361222043234,5.906398033320242,126.2261147826685,168.1119500425697,126.2261147826685,168.1119500425697,132055.34585096408,60
0,177,6.162361222043234,5.892449078193947,126.2261147826685,166.15902012418306,126.2261147826685,166.15902012418306,132055.34585096408,60
0,178,6.162361222043234,5.870920337951552,126.2261147826685,160.47481126552762,126.2261147826685,160.47481126552762,132055.34585096408,60
0,179,6.162361222043234,5.887475556806073,126.2261147826685,163.94260020447416,126.2261147826685,163.94260020447416,132055.34585096408,60
0,180,6.162361222043234,5.869036287350064,126.2261147826685,161.88089239423252,126.2261147826685,161.88089239423252,132055.34585096408,60
0,181,6.162361222043234,5.8808621858062935,126.2261147826685,164.42660531991322,126.2261147826685,164.42660531991322,132055.34585096408,60
0,182,6.162361222043234,5.871881557146864,126.2261147826685,164.20904953620328,126.2261147826685,164.20904953620328,132055.34585096408,60
0,183,6.162361222043234,5.87684988361373,126.2261147826685,165.94442367087996,126.2261147826685,165.94442367087996,132055.34585096408,60
0,184,6.162361222043234,5.885591506204583,126.2261147826685,165.34868133317906,126.2261147826685,165.34868133317906,132055.34585096408,60
0,185,6.162361222043234,5.925559515902988,126.2261147826685,173.0945980020761,126.2261147826685,173.0945980020761,132055.34585096408,60
0,186,6.162361222043234,5.9016687129219525,126.2261147826685,167.18987402930387,126.2261147826685,167.18987402930387,132055.34585096408,60
0,187,6.162361222043234,5.922475240037612,126.2261147826685,169.95314273869454,126.2261147826685,169.95314273869454,132055.34585096408,60
